trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.1, 'e': 0.44570040395095073}",25,0,-84.65216239798985,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.1, 'e': 0.4367863958719317}",25,0,-64.97760413068093,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.1, 'e': 0.42805066795449304}",20,7,-28.839796522640007,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.4194896545954032}",25,11,-25.210895014361505,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.41109986150349515}",20,11,14.7310248955286,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.4028778642734252}",20,0,-39.716077391775684,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.39482030698795667}",20,0,-143.48483084998432,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.38692390084819756}",25,3,-3.7818457476127367,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.3791854228312336}",25,18,11.7573020751643,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.3716017143746089}",25,0,-59.95453057989698,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.36416968008711675}",30,0,-117.1462973187182,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
51,False,"{'a': 0.1, 'e': 0.3568862864853744}",20,0,8.063170880387716,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.3497485607556669}",30,11,-26.52703604065739,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.34275358954055357}",25,4,-3.120291413520208,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
